nohup: 忽略输入
battery shared data already exists: /home/kkkk24/桌面/attention-GP/py project/battery/generated_data/shared_data.xlsx
battery: run 240 pending tasks with 4 workers
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
R callback write-console: 此外:   
R callback write-console: 警告信息:
  
R callback write-console: 程序包‘tgp’是用R版本4.4.3 来建造的 
  
Saved battery: method=K_means, n_initial=180, repeat=19/30, RMSE_all=13.5891, RMSE_target=6.1312, MAE_all=10.1679
Saved battery: method=IMSE, n_initial=180, repeat=18/30, RMSE_all=13.7076, RMSE_target=10.0794, MAE_all=10.6526
Saved battery: method=PM, n_initial=180, repeat=19/30, RMSE_all=16.5298, RMSE_target=8.9834, MAE_all=10.3347
Saved battery: method=G_opt, n_initial=180, repeat=19/30, RMSE_all=12.8209, RMSE_target=5.7654, MAE_all=8.9917
Saved battery: method=UCB, n_initial=180, repeat=19/30, RMSE_all=13.3072, RMSE_target=5.1891, MAE_all=9.4171
Saved battery: method=EI, n_initial=180, repeat=19/30, RMSE_all=13.7703, RMSE_target=4.5847, MAE_all=9.9959
Saved battery: method=LHS, n_initial=180, repeat=20/30, RMSE_all=17.0323, RMSE_target=16.9544, MAE_all=11.2398
Saved battery: method=D_opt, n_initial=180, repeat=20/30, RMSE_all=13.6253, RMSE_target=6.9871, MAE_all=10.1139
Saved battery: method=K_means, n_initial=180, repeat=20/30, RMSE_all=20.4345, RMSE_target=21.4754, MAE_all=11.2096
Saved battery: method=IMSE, n_initial=180, repeat=19/30, RMSE_all=13.8746, RMSE_target=4.6296, MAE_all=10.3285
Saved battery: method=PM, n_initial=180, repeat=20/30, RMSE_all=15.2277, RMSE_target=9.7045, MAE_all=10.9477
Saved battery: method=EI, n_initial=180, repeat=20/30, RMSE_all=13.2263, RMSE_target=5.6148, MAE_all=9.4632
Saved battery: method=G_opt, n_initial=180, repeat=20/30, RMSE_all=13.1935, RMSE_target=6.2559, MAE_all=9.9255
Saved battery: method=LHS, n_initial=180, repeat=21/30, RMSE_all=17.7415, RMSE_target=11.3251, MAE_all=11.0143
Saved battery: method=UCB, n_initial=180, repeat=20/30, RMSE_all=14.5748, RMSE_target=5.7146, MAE_all=9.5076
Saved battery: method=D_opt, n_initial=180, repeat=21/30, RMSE_all=13.9101, RMSE_target=6.5721, MAE_all=10.3894
Saved battery: method=IMSE, n_initial=180, repeat=20/30, RMSE_all=14.0603, RMSE_target=5.9754, MAE_all=10.3937
Saved battery: method=K_means, n_initial=180, repeat=21/30, RMSE_all=13.2549, RMSE_target=6.7857, MAE_all=9.4976
Saved battery: method=PM, n_initial=180, repeat=21/30, RMSE_all=15.0944, RMSE_target=4.2510, MAE_all=9.5576
Saved battery: method=G_opt, n_initial=180, repeat=21/30, RMSE_all=13.3442, RMSE_target=5.5275, MAE_all=9.6430
Saved battery: method=UCB, n_initial=180, repeat=21/30, RMSE_all=13.7153, RMSE_target=5.9672, MAE_all=9.3579
Saved battery: method=LHS, n_initial=180, repeat=22/30, RMSE_all=34.1253, RMSE_target=9.3577, MAE_all=12.7873
Saved battery: method=EI, n_initial=180, repeat=21/30, RMSE_all=13.1097, RMSE_target=5.9871, MAE_all=9.1088
Saved battery: method=D_opt, n_initial=180, repeat=22/30, RMSE_all=13.5951, RMSE_target=9.8633, MAE_all=10.1373
Saved battery: method=K_means, n_initial=180, repeat=22/30, RMSE_all=26.7874, RMSE_target=35.3055, MAE_all=12.1156
Saved battery: method=IMSE, n_initial=180, repeat=21/30, RMSE_all=14.2130, RMSE_target=9.0181, MAE_all=9.8308
Saved battery: method=PM, n_initial=180, repeat=22/30, RMSE_all=32.5771, RMSE_target=5.5670, MAE_all=12.0532
Saved battery: method=EI, n_initial=180, repeat=22/30, RMSE_all=13.1770, RMSE_target=5.6779, MAE_all=9.3507
Saved battery: method=G_opt, n_initial=180, repeat=22/30, RMSE_all=12.9238, RMSE_target=5.7012, MAE_all=8.9084
Saved battery: method=LHS, n_initial=180, repeat=23/30, RMSE_all=13.4562, RMSE_target=7.2245, MAE_all=9.8906
Saved battery: method=UCB, n_initial=180, repeat=22/30, RMSE_all=13.4996, RMSE_target=5.8299, MAE_all=10.0990
Saved battery: method=D_opt, n_initial=180, repeat=23/30, RMSE_all=13.5946, RMSE_target=6.6113, MAE_all=10.2370
Saved battery: method=K_means, n_initial=180, repeat=23/30, RMSE_all=13.7246, RMSE_target=6.2863, MAE_all=9.8536
Saved battery: method=IMSE, n_initial=180, repeat=22/30, RMSE_all=13.1661, RMSE_target=5.4743, MAE_all=9.3765
Saved battery: method=PM, n_initial=180, repeat=23/30, RMSE_all=14.1555, RMSE_target=9.1499, MAE_all=10.7494
Saved battery: method=G_opt, n_initial=180, repeat=23/30, RMSE_all=13.0577, RMSE_target=4.3923, MAE_all=9.0916
Saved battery: method=EI, n_initial=180, repeat=23/30, RMSE_all=13.3942, RMSE_target=5.1225, MAE_all=9.6809
Saved battery: method=LHS, n_initial=180, repeat=24/30, RMSE_all=14.0494, RMSE_target=7.7074, MAE_all=10.2014
Saved battery: method=UCB, n_initial=180, repeat=23/30, RMSE_all=16.8950, RMSE_target=5.2151, MAE_all=10.0858
Saved battery: method=D_opt, n_initial=180, repeat=24/30, RMSE_all=15.3184, RMSE_target=14.8411, MAE_all=10.1751
Saved battery: method=K_means, n_initial=180, repeat=24/30, RMSE_all=15.7109, RMSE_target=5.9102, MAE_all=9.6863
Saved battery: method=IMSE, n_initial=180, repeat=23/30, RMSE_all=13.5357, RMSE_target=4.7854, MAE_all=9.4299
Saved battery: method=PM, n_initial=180, repeat=24/30, RMSE_all=45.2380, RMSE_target=3.9320, MAE_all=13.1457
Saved battery: method=G_opt, n_initial=180, repeat=24/30, RMSE_all=13.2545, RMSE_target=5.8815, MAE_all=9.8530
Saved battery: method=EI, n_initial=180, repeat=24/30, RMSE_all=13.3338, RMSE_target=7.9883, MAE_all=9.8256
Saved battery: method=LHS, n_initial=180, repeat=25/30, RMSE_all=18.2959, RMSE_target=9.1972, MAE_all=10.9415
Saved battery: method=UCB, n_initial=180, repeat=24/30, RMSE_all=13.8477, RMSE_target=5.2487, MAE_all=9.1136
